scenario,hour,load_mw,wind_available_mw,pv_available_mw,wind_dispatch_mw,pv_dispatch_mw,wind_curtailment_mw,pv_curtailment_mw,alk_power_mw,pem_power_mw,nh3_power_mw,alk_on,pem_on,nh3_on,alk_startup,pem_startup,nh3_startup,alk_h2_kg,pem_h2_kg,nh3_kg,grid_buy_mw,grid_sell_mw,battery_charge_mw,battery_discharge_mw,soc_mwh,buy_price_yuan_per_kwh
typical,0,1.3698000000000001,10.904,0.0,10.904,0.0,0.0,0.0,20.0,20.0,1.5,1,1,1,0,0,0,280.0,320.0,3000.0,31.965799999999998,0.0,0.0,0.0,0.0,0.3424
typical,1,1.0997999999999999,15.152000000000001,0.0,15.152000000000001,0.0,0.0,0.0,20.0,20.0,1.5,1,1,1,0,0,0,280.0,320.0,3000.0,27.447799999999997,-0.0,0.0,0.0,0.0,0.3424
typical,2,0.7998000000000001,13.312,0.0,13.312,0.0,0.0,0.0,20.0,20.0,1.5,1,1,1,0,0,0,280.0,320.0,3000.0,28.9878,0.0,0.0,0.0,0.0,0.3424
typical,3,0.99,15.072000000000001,0.0,15.072000000000001,0.0,0.0,0.0,20.0,20.0,1.5,1,1,1,0,0,0,280.0,320.0,3000.0,27.417999999999996,-0.0,0.0,0.0,0.0,0.3424
typical,4,1.1802000000000001,18.724,0.0,18.724,0.0,0.0,0.0,20.0,20.0,1.5,1,1,1,0,0,0,280.0,320.0,3000.0,23.956199999999995,-0.0,0.0,0.0,0.0,0.3424
typical,5,1.6301999999999999,9.628,1.28,9.628,1.28,0.0,0.0,20.0,20.0,1.5,1,1,1,0,0,0,280.0,320.0,3000.0,32.2222,0.0,0.0,0.0,0.0,0.3424
typical,6,2.5002,22.804000000000002,7.68,22.804000000000002,7.68,0.0,0.0,20.0,20.0,1.5,1,1,1,0,0,0,280.0,320.0,3000.0,13.516199999999998,-0.0,0.0,0.0,0.0,0.3424
typical,7,3.3701999999999996,17.852,17.92,17.852,17.92,0.0,0.0,14.000000000000009,20.0,1.2900000000000003,1,1,1,0,0,0,196.0000000000001,320.0,2580.0000000000005,2.8881999999999977,0.0,0.0,0.0,0.0,0.6074
typical,8,4.0098,14.328000000000001,28.8,14.328000000000001,28.8,0.0,0.0,17.698743961352655,20.0,1.419456038647343,1,1,1,0,0,0,247.78241545893718,320.0,2838.912077294686,0.0,0.0,0.0,0.0,0.0,0.6074
typical,9,4.199999999999999,11.904,37.12,11.904,37.12,0.0,0.0,20.0,20.0,1.5,1,1,1,0,0,0,280.0,320.0,3000.0,0.0,3.3240000000000016,0.0,0.0,0.0,0.6074
typical,10,4.1202,7.736,42.88,7.736,42.88,0.0,0.0,20.0,20.0,1.5,1,1,1,0,0,0,280.0,320.0,3000.0,0.0,4.9958,0.0,0.0,0.0,0.8024
typical,11,3.9000000000000004,8.556000000000001,44.8,8.556000000000001,44.8,0.0,0.0,20.0,20.0,1.5,1,1,1,0,0,0,280.0,320.0,3000.0,0.0,7.955999999999994,0.0,0.0,0.0,0.8024
typical,12,3.2598000000000003,14.52,46.08,14.52,46.08,0.0,0.0,20.0,20.0,1.5,1,1,1,0,0,0,280.0,320.0,3000.0,0.0,15.840199999999996,0.0,0.0,0.0,0.8024
typical,13,2.6898,6.707999999999999,42.88,6.707999999999999,42.88,0.0,0.0,20.0,20.0,1.5,1,1,1,0,0,0,280.0,320.0,3000.0,0.0,5.398200000000001,0.0,0.0,0.0,0.8024
typical,14,3.63,11.175999999999998,37.12,11.175999999999998,37.12,0.0,0.0,20.0,20.0,1.5,1,1,1,0,0,0,280.0,320.0,3000.0,0.0,3.1659999999999924,0.0,0.0,0.0,0.8024
typical,15,3.8202000000000003,10.107999999999999,28.8,10.107999999999999,28.8,0.0,0.0,15.72205659075219,20.000000000000007,1.3502719806763268,1,1,1,0,0,0,220.10879227053067,320.0000000000001,2700.5439613526537,1.98452857142853,0.0,0.0,0.0,0.0,0.6074
typical,16,3.75,6.3839999999999995,17.92,6.3839999999999995,17.92,0.0,0.0,9.722056590752308,20.0,1.1402719806763308,1,1,1,0,0,0,136.10879227053232,320.0,2280.5439613526614,10.308328571428625,0.0,0.0,0.0,0.0,0.6074
typical,17,3.1398,6.428000000000001,5.12,6.428000000000001,5.12,0.0,0.0,-4.0602442043434294e-15,20.0,0.7999999999999998,0,1,1,0,0,0,-5.684341886080802e-14,320.0,1599.9999999999995,12.391799999999991,0.0,0.0,0.0,0.0,0.6074
typical,18,2.61,5.736,0.0,5.736,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,-0.0,-0.0,-0.0,3.126,0.0,0.0,0.0,0.8024
typical,19,2.1198,3.752,0.0,3.752,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,-0.0,-0.0,0.0,1.6321999999999968,0.0,0.0,0.0,0.8024
typical,20,1.8599999999999999,3.6919999999999997,0.0,3.6919999999999997,0.0,0.0,0.0,-1.8038945533548464e-14,0.0,-6.313630936741963e-16,0,0,0,0,0,0,-2.525452374696785e-13,-0.0,-1.2627261873483925e-12,-9.979364930455737e-15,1.8320000000000074,0.0,0.0,0.0,0.8024
typical,21,1.6301999999999999,4.88,0.0,4.88,0.0,0.0,0.0,8.171241461241156e-14,-8.260059303211168e-14,-4.440892098500626e-16,0,0,0,0,0,0,1.143973804573762e-12,-1.321609488513787e-12,-8.881784197001252e-13,0.0,3.2498000000000014,0.0,0.0,0.0,0.6074
typical,22,1.56,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,-0.0,-0.0,-0.0,0.9400000000000023,0.0,0.0,0.0,0.6074
typical,23,1.4802,3.1919999999999997,0.0,3.1919999999999997,0.0,0.0,0.0,20.0,20.0,1.5,1,1,1,1,1,1,280.0,320.0,3000.0,39.788199999999996,0.0,0.0,0.0,0.0,0.3424
