plan,battery_energy_mwh,battery_power_mw,expected_annual_cost_yuan,mean_daily_cost_yuan,p90_daily_cost_yuan,worst_daily_cost_yuan,daily_cost_std_yuan,mean_grid_import_mwh,mean_curtailment_rate,official_compliance_rate,mean_alk_h2_share
deterministic_expected_profile,20.585866884104615,10.292933442053211,111682708.79462832,310229.74665174534,402694.78967119806,442663.9371347518,77683.83419334785,379.60784709829636,0.0,0.625,0.3844164533375333
stochastic_24_scenarios,30.86901457397007,15.434507286985035,111632010.87421095,310088.91909503046,401997.0699626659,441800.73573621834,77110.8064582269,382.06032732128415,0.0,0.625,0.3838204949301179
